86e8c468-42d5-11ea-1437-4f0edf57c1c5,img/repeat/907180/colony4j-86e8c468-42d5-11ea-1437-4f0edf57c1c5.png,blank,[1 4 1; 2 4 2; 1 4 1],"[3]=>0;[7]=>1;[0, 9, 4, 2, 8, 6, 1]=>same;[5]=>switch",true
87156068-42d5-11ea-3276-e3c6c3d5e566,img/repeat/907180/colony4j-87156068-42d5-11ea-3276-e3c6c3d5e566.png,random,[4 0 4; 1 3 1; 4 0 4],"[2]=>0;[0, 9, 4, 7, 8, 6, 1]=>1;[3]=>same;[5]=>switch",true
8742b0c2-42d5-11ea-0f93-01b8bce2a585,img/repeat/907180/colony4j-8742b0c2-42d5-11ea-0f93-01b8bce2a585.png,blank,[4 0 4; 1 3 1; 4 0 4],"[2]=>0;[0, 9, 4, 7, 8, 6, 1]=>1;[5]=>same;[3]=>switch",true
875c8bd2-42d5-11ea-2a4d-3934e8961e4a,img/repeat/907180/colony4j-875c8bd2-42d5-11ea-2a4d-3934e8961e4a.png,blank,[4 0 4; 1 3 1; 4 0 4],"[3]=>0;[0, 9, 4, 7, 8, 6, 1]=>1;[2]=>same;[5]=>switch",true
8769985e-42d5-11ea-2697-473c60bbd72c,img/repeat/907180/colony4j-8769985e-42d5-11ea-2697-473c60bbd72c.png,square,[4 0 4; 1 3 1; 4 0 4],"[3]=>0;[0, 9, 4, 7, 8, 6, 1]=>1;[5]=>same;[2]=>switch",true
877d6212-42d5-11ea-1e41-c90fc9f00bb3,img/repeat/907180/colony4j-877d6212-42d5-11ea-1e41-c90fc9f00bb3.png,random,[4 0 4; 1 3 1; 4 0 4],"[5]=>0;[0, 9, 4, 7, 8, 6, 1]=>1;[2]=>same;[3]=>switch",true
87914b6a-42d5-11ea-1027-8bb1de056dde,img/repeat/907180/colony4j-87914b6a-42d5-11ea-1027-8bb1de056dde.png,square,[4 0 4; 1 3 1; 4 0 4],"[5]=>0;[0, 9, 4, 7, 8, 6, 1]=>1;[3]=>same;[2]=>switch",true
87a15370-42d5-11ea-037f-afa18cc62cb0,img/regular/826828/colony4j-87a15370-42d5-11ea-037f-afa18cc62cb0.png,square,[4 0 4; 1 3 1; 4 0 4],"[0, 9, 4, 7, 8, 6, 1]=>0;[2]=>1;[3]=>same;[5]=>switch",false
87b31916-42d5-11ea-2cd8-31eb41a6b04c,img/regular/826828/colony4j-87b31916-42d5-11ea-2cd8-31eb41a6b04c.png,random,[4 0 4; 1 3 1; 4 0 4],"[0, 9, 4, 7, 8, 6, 1]=>0;[2]=>1;[5]=>same;[3]=>switch",false
87c9cf08-42d5-11ea-157b-977e7d6b094d,img/repeat/907180/colony4j-87c9cf08-42d5-11ea-157b-977e7d6b094d.png,random,[4 0 4; 1 3 1; 4 0 4],"[3]=>0;[2]=>1;[0, 9, 4, 7, 8, 6, 1]=>same;[5]=>switch",true
87dc4e62-42d5-11ea-0c79-d33aa73dae5c,img/regular/826828/colony4j-87dc4e62-42d5-11ea-0c79-d33aa73dae5c.png,blank,[4 0 4; 1 3 1; 4 0 4],"[3]=>0;[2]=>1;[5]=>same;[0, 9, 4, 7, 8, 6, 1]=>switch",false
87f03ea4-42d5-11ea-2709-b1fa326b8841,img/repeat/907180/colony4j-87f03ea4-42d5-11ea-2709-b1fa326b8841.png,blank,[4 0 4; 1 3 1; 4 0 4],"[5]=>0;[2]=>1;[0, 9, 4, 7, 8, 6, 1]=>same;[3]=>switch",true
8801c43a-42d5-11ea-18de-f53c3888e6df,img/regular/826828/colony4j-8801c43a-42d5-11ea-18de-f53c3888e6df.png,blank,[4 0 4; 1 3 1; 4 0 4],"[5]=>0;[2]=>1;[3]=>same;[0, 9, 4, 7, 8, 6, 1]=>switch",false
