id,file,seed,mask,filter,repeater
bcedccc6-01e5-11e8-1bcc-23fa4cf07642,img/regular/712411/colony4j-bcedccc6-01e5-11e8-1bcc-23fa4cf07642.png,random,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5, 8]=>1;[7, 1]=>same;[4]=>switch",FALSE
bdc6d6d8-01e5-11e8-1f72-65692dc07916,img/regular/712411/colony4j-bdc6d6d8-01e5-11e8-1f72-65692dc07916.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5, 8]=>1;[4, 1]=>same;[7]=>switch",FALSE
be8355ce-01e5-11e8-3c48-bd02e0ce15d7,img/regular/712411/colony4j-be8355ce-01e5-11e8-3c48-bd02e0ce15d7.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5, 8]=>1;[4, 1]=>same;[7]=>switch",FALSE
bf2279a6-01e5-11e8-0270-8fd7d5529032,img/regular/712411/colony4j-bf2279a6-01e5-11e8-0270-8fd7d5529032.png,random,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5, 8]=>1;[7, 4, 1]=>same;nothing=>switch",FALSE
bfd160c4-01e5-11e8-268c-bf27bd8731cd,img/repeat/123418/colony4j-bfd160c4-01e5-11e8-268c-bf27bd8731cd.png,blank,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5]=>1;[4, 7, 1]=>same;nothing=>switch",TRUE
c055ee48-01e5-11e8-099d-4fcd0fa3d4f8,img/repeat/123418/colony4j-c055ee48-01e5-11e8-099d-4fcd0fa3d4f8.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5]=>1;[4, 7, 1]=>same;nothing=>switch",TRUE
c0f3282a-01e5-11e8-0040-3933a02ebc47,img/regular/712411/colony4j-c0f3282a-01e5-11e8-0040-3933a02ebc47.png,random,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[4, 5]=>1;[7]=>same;[8, 1]=>switch",FALSE
c1a3dada-01e5-11e8-30f0-cb70d5b80ca7,img/regular/712411/colony4j-c1a3dada-01e5-11e8-30f0-cb70d5b80ca7.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[4, 5]=>1;[8]=>same;[7, 1]=>switch",FALSE
c245f27a-01e5-11e8-02fd-ade56ce415e5,img/regular/712411/colony4j-c245f27a-01e5-11e8-02fd-ade56ce415e5.png,random,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[4, 5]=>1;[1]=>same;[7, 8]=>switch",FALSE
c3013c4c-01e5-11e8-0db6-e1affb334235,img/regular/712411/colony4j-c3013c4c-01e5-11e8-0db6-e1affb334235.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[4, 5]=>1;[1]=>same;[7, 8]=>switch",FALSE
